true_class,1 NSR,2 APB,3 AFL,4 AFIB,5 SVTA,6 WPW,7 PVC,8 Bigeminy,9 Trigeminy,10 VT,11 IVR,12 VFL,13 Fusion,14 LBBBB,15 RBBBB,16 SDHB,17 PR
1 NSR,51,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 APB,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3 AFL,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 AFIB,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
5 SVTA,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 WPW,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7 PVC,4,1,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0
8 Bigeminy,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0
9 Trigeminy,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
10 VT,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11 IVR,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
12 VFL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
13 Fusion,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
14 LBBBB,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
15 RBBBB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0
16 SDHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17 PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
