class,full_name,dataset_n,train_n,validation_n,precision,recall,f1,specificity,roc_auc_ovr,average_precision_ovr,true_positive,false_positive,false_negative,true_negative
1 NSR,Normal sinus rhythm,283,226,57,0.9107142857142857,0.8947368421052632,0.9026548672566371,0.965034965034965,0.9860139860139859,0.9707676055185273,51,5,6,138
2 APB,Atrial premature beat,66,53,13,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.9572192513368984,0.9736733854380913,0.8530675464885991,10,8,3,179
3 AFL,Atrial flutter,20,16,4,0.8,1.0,0.8888888888888888,0.9948979591836735,0.9974489795918366,0.8875,4,1,0,195
4 AFIB,Atrial fibrillation,135,108,27,0.9642857142857143,1.0,0.9818181818181818,0.9942196531791907,0.9989295654035538,0.9928563137822395,27,1,0,172
5 SVTA,Supraventricular tachyarrhythmia,13,10,3,0.0,0.0,0.0,0.9949238578680203,0.9847715736040609,0.75,0,1,3,196
6 WPW,Wolff-Parkinson-White pattern,21,17,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,0,196
7 PVC,Premature ventricular contraction,133,107,26,0.7916666666666666,0.7307692307692307,0.76,0.9712643678160919,0.9725906277630416,0.8633250332999739,19,5,7,169
8 Bigeminy,Ventricular bigeminy,55,44,11,0.7142857142857143,0.9090909090909091,0.8,0.9788359788359788,0.9937469937469937,0.9507575757575759,10,4,1,185
9 Trigeminy,Ventricular trigeminy,13,10,3,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1,0,2,197
10 VT,Ventricular tachycardia,10,8,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,198
11 IVR,Idioventricular rhythm,10,8,2,0.5,0.5,0.5,0.9949494949494949,0.994949494949495,0.75,1,1,1,197
12 VFL,Ventricular flutter,10,8,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,198
13 Fusion,Fusion of ventricular and normal beat,11,9,2,0.0,0.0,0.0,1.0,0.9393939393939394,0.5384615384615384,0,0,2,198
14 LBBBB,Left bundle branch block beat,103,82,21,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,21,0,0,179
15 RBBBB,Right bundle branch block beat,62,50,12,1.0,0.9166666666666666,0.9565217391304348,1.0,1.0,1.0,11,0,1,188
16 SDHB,Second-degree heart block,10,8,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,198
17 PR,Pacemaker rhythm,45,36,9,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,9,0,0,191
