class,recall,precision
1 NSR,1.0,0.285
1 NSR,1.0,0.2864321608040201
1 NSR,1.0,0.2878787878787879
1 NSR,1.0,0.2893401015228426
1 NSR,1.0,0.29081632653061223
1 NSR,1.0,0.2923076923076923
1 NSR,1.0,0.29381443298969073
1 NSR,1.0,0.29533678756476683
1 NSR,1.0,0.296875
1 NSR,1.0,0.29842931937172773
1 NSR,1.0,0.3
1 NSR,1.0,0.30158730158730157
1 NSR,1.0,0.30319148936170215
1 NSR,1.0,0.3048128342245989
1 NSR,1.0,0.3064516129032258
1 NSR,1.0,0.3081081081081081
1 NSR,1.0,0.30978260869565216
1 NSR,1.0,0.3114754098360656
1 NSR,1.0,0.3131868131868132
1 NSR,1.0,0.3149171270718232
1 NSR,1.0,0.31666666666666665
1 NSR,1.0,0.31843575418994413
1 NSR,1.0,0.3202247191011236
1 NSR,1.0,0.3220338983050847
1 NSR,1.0,0.32386363636363635
1 NSR,1.0,0.32571428571428573
1 NSR,1.0,0.3275862068965517
1 NSR,1.0,0.32947976878612717
1 NSR,1.0,0.3313953488372093
1 NSR,1.0,0.3333333333333333
1 NSR,1.0,0.3352941176470588
1 NSR,1.0,0.33727810650887574
1 NSR,1.0,0.3392857142857143
1 NSR,1.0,0.3413173652694611
1 NSR,1.0,0.3433734939759036
1 NSR,1.0,0.34545454545454546
1 NSR,1.0,0.3475609756097561
1 NSR,1.0,0.3496932515337423
1 NSR,1.0,0.35185185185185186
1 NSR,1.0,0.35403726708074534
1 NSR,1.0,0.35625
1 NSR,1.0,0.3584905660377358
1 NSR,1.0,0.36075949367088606
1 NSR,1.0,0.3630573248407643
1 NSR,1.0,0.36538461538461536
1 NSR,1.0,0.36774193548387096
1 NSR,1.0,0.37012987012987014
1 NSR,1.0,0.37254901960784315
1 NSR,1.0,0.375
1 NSR,1.0,0.37748344370860926
1 NSR,1.0,0.38
1 NSR,1.0,0.3825503355704698
1 NSR,1.0,0.38513513513513514
1 NSR,1.0,0.3877551020408163
1 NSR,1.0,0.3904109589041096
1 NSR,1.0,0.3931034482758621
1 NSR,1.0,0.3958333333333333
1 NSR,1.0,0.3986013986013986
1 NSR,1.0,0.4014084507042254
1 NSR,1.0,0.40425531914893614
1 NSR,1.0,0.40714285714285714
1 NSR,1.0,0.41007194244604317
1 NSR,1.0,0.41304347826086957
1 NSR,1.0,0.41605839416058393
1 NSR,1.0,0.41911764705882354
1 NSR,1.0,0.4222222222222222
1 NSR,1.0,0.4253731343283582
1 NSR,1.0,0.42857142857142855
1 NSR,1.0,0.4318181818181818
1 NSR,1.0,0.4351145038167939
1 NSR,1.0,0.43846153846153846
