class,fpr,tpr
1 NSR,0.0,0.0
1 NSR,0.0,0.017543859649122806
1 NSR,0.0,0.2982456140350877
1 NSR,0.0,0.3333333333333333
1 NSR,0.0,0.7192982456140351
1 NSR,0.006993006993006993,0.7192982456140351
1 NSR,0.006993006993006993,0.7368421052631579
1 NSR,0.013986013986013986,0.7368421052631579
1 NSR,0.013986013986013986,0.7543859649122807
1 NSR,0.02097902097902098,0.7543859649122807
1 NSR,0.02097902097902098,0.8947368421052632
1 NSR,0.04895104895104895,0.8947368421052632
1 NSR,0.04895104895104895,0.9473684210526315
1 NSR,0.06993006993006994,0.9473684210526315
1 NSR,0.06993006993006994,0.9649122807017544
1 NSR,0.09090909090909091,0.9649122807017544
1 NSR,0.09090909090909091,0.9824561403508771
1 NSR,0.3006993006993007,0.9824561403508771
1 NSR,0.3006993006993007,1.0
1 NSR,0.4405594405594406,1.0
1 NSR,0.45454545454545453,1.0
1 NSR,1.0,1.0
10 VT,0.0,0.0
10 VT,0.0,0.5
10 VT,0.0,1.0
10 VT,0.2828282828282828,1.0
10 VT,0.29292929292929293,1.0
10 VT,0.7878787878787878,1.0
10 VT,0.797979797979798,1.0
10 VT,1.0,1.0
11 IVR,0.0,0.0
11 IVR,0.0,0.5
11 IVR,0.010101010101010102,0.5
11 IVR,0.010101010101010102,1.0
11 IVR,0.19696969696969696,1.0
11 IVR,0.20707070707070707,1.0
11 IVR,0.9040404040404041,1.0
11 IVR,0.9141414141414141,1.0
11 IVR,1.0,1.0
12 VFL,0.0,0.0
12 VFL,0.0,0.5
12 VFL,0.0,1.0
12 VFL,0.5202020202020202,1.0
12 VFL,0.5303030303030303,1.0
12 VFL,0.5757575757575758,1.0
12 VFL,0.5858585858585859,1.0
12 VFL,1.0,1.0
13 Fusion,0.0,0.0
13 Fusion,0.0,0.5
13 Fusion,0.12121212121212122,0.5
13 Fusion,0.12121212121212122,1.0
13 Fusion,0.37373737373737376,1.0
13 Fusion,0.3838383838383838,1.0
13 Fusion,0.7727272727272727,1.0
13 Fusion,0.7828282828282829,1.0
13 Fusion,1.0,1.0
14 LBBBB,0.0,0.0
14 LBBBB,0.0,0.047619047619047616
14 LBBBB,0.0,0.6190476190476191
14 LBBBB,0.0,0.7142857142857143
14 LBBBB,0.0,1.0
14 LBBBB,0.8491620111731844,1.0
14 LBBBB,0.8603351955307262,1.0
14 LBBBB,1.0,1.0
15 RBBBB,0.0,0.0
15 RBBBB,0.0,0.08333333333333333
15 RBBBB,0.0,1.0
15 RBBBB,0.7925531914893617,1.0
15 RBBBB,0.8031914893617021,1.0
15 RBBBB,0.8351063829787234,1.0
15 RBBBB,0.8457446808510638,1.0
15 RBBBB,1.0,1.0
16 SDHB,0.0,0.0
16 SDHB,0.0,0.5
16 SDHB,0.0,1.0
16 SDHB,0.5353535353535354,1.0
16 SDHB,0.5454545454545454,1.0
16 SDHB,0.5757575757575758,1.0
16 SDHB,0.5858585858585859,1.0
16 SDHB,1.0,1.0
17 PR,0.0,0.0
17 PR,0.0,0.1111111111111111
17 PR,0.0,1.0
17 PR,0.17277486910994763,1.0
17 PR,0.18324607329842932,1.0
17 PR,0.5549738219895288,1.0
17 PR,0.5654450261780105,1.0
17 PR,1.0,1.0
2 APB,0.0,0.0
2 APB,0.0,0.07692307692307693
2 APB,0.0,0.6153846153846154
2 APB,0.0053475935828877,0.6153846153846154
2 APB,0.0053475935828877,0.6923076923076923
2 APB,0.0106951871657754,0.6923076923076923
2 APB,0.0106951871657754,0.7692307692307693
2 APB,0.0427807486631016,0.7692307692307693
2 APB,0.0427807486631016,0.8461538461538461
2 APB,0.053475935828877004,0.8461538461538461
2 APB,0.053475935828877004,0.9230769230769231
2 APB,0.22994652406417113,0.9230769230769231
2 APB,0.22994652406417113,1.0
2 APB,0.39572192513368987,1.0
2 APB,0.40641711229946526,1.0
2 APB,0.8074866310160428,1.0
2 APB,0.8181818181818182,1.0
2 APB,1.0,1.0
3 AFL,0.0,0.0
3 AFL,0.0,0.25
3 AFL,0.0,0.5
3 AFL,0.00510204081632653,0.5
3 AFL,0.00510204081632653,1.0
3 AFL,0.3520408163265306,1.0
3 AFL,0.3622448979591837,1.0
3 AFL,0.9285714285714286,1.0
3 AFL,0.9387755102040817,1.0
3 AFL,1.0,1.0
4 AFIB,0.0,0.0
4 AFIB,0.0,0.037037037037037035
4 AFIB,0.0,0.8148148148148148
4 AFIB,0.005780346820809248,0.8148148148148148
4 AFIB,0.005780346820809248,1.0
4 AFIB,0.7861271676300579,1.0
4 AFIB,0.7976878612716763,1.0
4 AFIB,0.861271676300578,1.0
4 AFIB,0.8728323699421965,1.0
4 AFIB,1.0,1.0
5 SVTA,0.0,0.0
5 SVTA,0.0,0.3333333333333333
5 SVTA,0.0,0.6666666666666666
5 SVTA,0.04568527918781726,0.6666666666666666
5 SVTA,0.04568527918781726,1.0
5 SVTA,0.8020304568527918,1.0
5 SVTA,0.8121827411167513,1.0
5 SVTA,0.8426395939086294,1.0
5 SVTA,0.8527918781725888,1.0
5 SVTA,1.0,1.0
6 WPW,0.0,0.0
6 WPW,0.0,0.25
6 WPW,0.0,1.0
6 WPW,0.5357142857142857,1.0
6 WPW,0.5459183673469388,1.0
6 WPW,0.8826530612244898,1.0
6 WPW,0.8928571428571429,1.0
6 WPW,1.0,1.0
7 PVC,0.0,0.0
7 PVC,0.0,0.038461538461538464
7 PVC,0.0,0.46153846153846156
7 PVC,0.011494252873563218,0.46153846153846156
7 PVC,0.011494252873563218,0.5769230769230769
7 PVC,0.017241379310344827,0.5769230769230769
7 PVC,0.017241379310344827,0.7307692307692307
7 PVC,0.034482758620689655,0.7307692307692307
7 PVC,0.034482758620689655,0.7692307692307693
7 PVC,0.040229885057471264,0.7692307692307693
7 PVC,0.040229885057471264,0.8461538461538461
7 PVC,0.11494252873563218,0.8461538461538461
7 PVC,0.11494252873563218,0.8846153846153846
