source_index,file,class,split,recording_id_proxy,file_sha256
0,MLII/1 NSR/100m (0).mat,1 NSR,training,100,9dc5a845a8efc6a1be6610ede759569db4aa9f523d63fc57be0490abae4cfb77
1,MLII/1 NSR/100m (1).mat,1 NSR,training,100,5cfb34722554b95284ea432a4c2c228c2c75f762baf07f5834da003f31477dbf
2,MLII/1 NSR/100m (2).mat,1 NSR,training,100,75fe982880ba4d4aa9af22eba7d6592f4f4b97d33ff82ebb7e3b98a7cc34e322
3,MLII/1 NSR/100m (3).mat,1 NSR,training,100,04de657824ad0d8c4b26b30a2f1c4cf673794099a5a36ae2b6e5baab6f78d4b9
4,MLII/1 NSR/100m (4).mat,1 NSR,training,100,bfa5f89aa113cba443c4c09d4191aebd84f3dd8df09ba78fbc66ba873ae743af
5,MLII/1 NSR/100m (5).mat,1 NSR,training,100,59697b8b0e673e18a9c8ca49afee5216452c9b9eef06d88d77747838e6983e61
6,MLII/1 NSR/100m (6).mat,1 NSR,training,100,f39faef155e75fe9cb3423db810238de6d21feaa188d59489921a74185edc684
7,MLII/1 NSR/100m (7).mat,1 NSR,validation,100,d4b03ec5ed4a66496c7b4034864dc0dfc1f28d050736b5f06b14fa60005cb143
8,MLII/1 NSR/100m (8).mat,1 NSR,validation,100,4525ba5f6b08e9181a3e75f31c5bd85e4892769db38dbd02fa532e012151fd01
9,MLII/1 NSR/100m (9).mat,1 NSR,training,100,dffe98ff8d63ddadf3a09a69b24e85571d4ea25f7f2572c3913889b4e4f03150
10,MLII/1 NSR/101m (0).mat,1 NSR,training,101,da1a0edb8177feeda0906694237e3a296de61a58b2ef09b00e1865e096f9e0d1
11,MLII/1 NSR/101m (1).mat,1 NSR,training,101,42437eb94da4b4436acd5345e299552e1bde6d16847097544dfff279844be316
12,MLII/1 NSR/101m (10).mat,1 NSR,training,101,4391fa12257a977f0f6df39cb7197c0a9f0c7994840d285503910b79cecf2bca
13,MLII/1 NSR/101m (2).mat,1 NSR,validation,101,204da9af7c67bc60a5aadf6c0750648f1d7511a894148a4aa2760a1c1e0c9c57
14,MLII/1 NSR/101m (3).mat,1 NSR,training,101,627efbc5d2cf2a515ef3301fc6080fc72f1ac9478cfffee97555788c8313718f
15,MLII/1 NSR/101m (4).mat,1 NSR,training,101,7fe4a0672059d5a8d5d83d471ea926e3bd56e0f3eef4f14b5cbb82aaee29a857
16,MLII/1 NSR/101m (5).mat,1 NSR,training,101,75767e6bb52b06bad277f6bdd9a98be1ff3d28869cafc1d7585e34fd45aa6dbc
17,MLII/1 NSR/101m (6).mat,1 NSR,validation,101,6765a900b0af42028205b38a4c5e7c5eeb2c018597a8c0b48e5693861a2cfe53
